,parameters,training_rmse_0,training_rmse_1,training_rmse_2,training_rmse_3,training_rmse_4,valid_1_rmse_0,valid_1_rmse_1,valid_1_rmse_2,valid_1_rmse_3,valid_1_rmse_4,best_iterations_0,best_iterations_1,best_iterations_2,best_iterations_3,best_iterations_4,training_rmse_mean,valid_rmse_mean,best_iter_mean,overfit_flag
106,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 200}",1778.3774106984242,1776.5515683965514,1778.0845780850334,1782.2600581515755,1778.9140202821939,1807.2614166843614,1793.1474895596161,1804.7004051745648,1774.6647948617288,1805.6710264372314,200,200,200,200,200,1778.8375271227555,1797.0890265435003,200.0,18.25149942074472
107,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 8, 'num_round': 100}",1775.5350365835543,1782.5360496568826,1778.0053609592917,1786.3544555100327,1782.592678123287,1802.0226464164448,1797.0419192635368,1802.52963111156,1782.9483621811557,1803.9196989768543,100,100,100,100,100,1781.0047161666093,1797.6924515899104,100.0,16.687735423301092
108,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 100}",1782.096287099035,1784.2701887870453,1778.9279867467544,1780.5842520218107,1777.06063908599,1806.9097115925078,1802.5625926105895,1803.6963735676923,1776.6641359986095,1800.8457802781008,100,100,100,100,100,1780.5878707481272,1798.1357188095,100.0,17.54784806137286
109,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 100}",1781.068654121328,1778.9160571674054,1775.9125019233138,1786.7528374082697,1778.5594716207424,1809.2620270800394,1796.7354867677193,1802.7450947123361,1780.79793386931,1804.2283235000127,100,100,100,100,100,1780.2419044482117,1798.7537731858836,100.0,18.511868737671875
110,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 16, 'num_round': 50}",1778.9230048326292,1781.106585747169,1774.6612334016017,1785.9848374387786,1779.4715174634673,1805.0426628220976,1800.76468863421,1803.4157173859028,1776.3135176429337,1809.065682327478,50,50,50,50,50,1780.0294357767293,1798.9204537625246,50.0,18.891017985795315
111,"{'early_stopping_rounds': 10, 'learning_rate': 0.05, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 200}",1781.208293293072,1781.3996894878844,1782.1022485293565,1787.3030229307976,1781.3072707889412,1810.3506076867232,1798.07662416794,1805.3989899838414,1778.0805067632778,1808.1557851023588,200,200,200,200,200,1782.6641050060105,1800.012502740828,200.0,17.34839773481758
112,"{'early_stopping_rounds': 10, 'learning_rate': 0.1, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 100}",1781.3761296453345,1781.800832176149,1780.7178176740417,1788.9668566778591,1784.0032776889304,1810.9461561039388,1798.984171532586,1803.8788196574183,1781.6599242986065,1807.5515911640277,100,100,100,100,100,1783.372982772463,1800.6041325513156,100.0,17.23114977885257
113,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 5000, 'num_leaves': 16, 'num_round': 50}",1789.6311922299594,1784.1128847452323,1780.7386677973875,1783.2898187693731,1787.188876758836,1812.9421147490289,1803.5301536048848,1806.8236846843845,1779.2822173313036,1812.5929919188588,50,50,50,50,50,1784.9922880601575,1803.0342324576923,50.0,18.041944397534735
114,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 500, 'num_leaves': 8, 'num_round': 50}",1791.4373872342046,1786.1606592987832,1777.9451072713994,1788.3493677253202,1787.4002699775629,1819.6407129777024,1800.6176298437015,1807.3203824554778,1779.7088636244873,1811.2851911287667,50,50,50,50,50,1786.2585583014538,1803.7145560060271,50.0,17.455997704573292
115,"{'early_stopping_rounds': 10, 'learning_rate': 0.2, 'min_data_in_leaf': 1000, 'num_leaves': 8, 'num_round': 50}",1803.052074407501,1783.6173540158513,1787.1981660242209,1794.2520249154873,1787.1150154212476,1830.4043996559678,1800.2536734962089,1813.9393659663856,1785.5648830832808,1811.90550483037,50,50,50,50,50,1791.0469269568616,1808.4135654064426,50.0,17.366638449580933
